website,date,year,month,device,channel_group,active_users,new_users,sessions,sessions_per_user,screen_page_views,engaged_sessions,user_engagement_duration,average_session_duration,engagement_rate,new_users_ratio,new_users_ratio
WEB_01,01/04/2023,2023,4,tablet,Referral,6,4,27,4.5,2,21,9574,320.8004605,0.777777778,0.666666667,0.666666667
WEB_01,01/04/2023,2023,4,desktop,Unassigned,2,2,6,3,0,3,95,294.073931,0.5,1,1
WEB_01,01/04/2023,2023,4,mobile,Unassigned,2,2,2,1,0,1,204,417.5433154,0.5,1,1
WEB_01,01/04/2023,2023,4,tablet,Unassigned,1,1,2,2,0,1,102,312.4706464,0.5,1,1
WEB_01,01/05/2023,2023,5,desktop,Organic Search,2170,2077,2611,1.203225806,16,1816,1160991,283.8214153,0.695518958,0.957142857,0.957142857
WEB_01,01/05/2023,2023,5,mobile,Organic Search,1288,1277,1446,1.122670807,10,944,640533,289.292257,0.652835408,0.991459627,0.991459627
WEB_01,01/05/2023,2023,5,desktop,Direct,1174,1155,1290,1.098807496,4,266,131798,420.8904377,0.20620155,0.983816014,0.983816014
WEB_01,01/05/2023,2023,5,mobile,Direct,177,173,215,1.214689266,2,72,37169,406.7862903,0.334883721,0.97740113,0.97740113
WEB_01,01/05/2023,2023,5,desktop,Referral,93,67,241,2.591397849,236,150,77071,426.8600687,0.622406639,0.720430108,0.720430108
WEB_01,01/05/2023,2023,5,tablet,Organic Search,91,87,105,1.153846154,0,55,46118,365.8843801,0.523809524,0.956043956,0.956043956
WEB_01,01/05/2023,2023,5,mobile,Organic Social,10,10,10,1,0,4,381,518.2204933,0.4,1,1
WEB_01,01/05/2023,2023,5,desktop,Organic Social,8,4,8,1,0,8,3155,372.6150727,1,0.5,0.5
WEB_01,01/05/2023,2023,5,mobile,Referral,8,4,30,3.75,0,21,5154,302.8157869,0.7,0.5,0.5
WEB_01,01/05/2023,2023,5,tablet,Direct,8,6,15,1.875,0,6,5454,338.6828539,0.4,0.75,0.75
WEB_01,01/05/2023,2023,5,desktop,Unassigned,6,6,8,1.333333333,0,4,530,323.0798399,0.5,1,1
WEB_01,01/05/2023,2023,5,tablet,Referral,6,4,21,3.5,0,21,9792,315.8088659,1,0.666666667,0.666666667
WEB_01,01/05/2023,2023,5,mobile,Unassigned,2,2,2,1,0,1,204,368.8276997,0.5,1,1
WEB_01,01/06/2023,2023,6,desktop,Organic Search,1891,1794,2347,1.241142253,16,1526,1001110,284.8355335,0.650191734,0.948704389,0.948704389
WEB_01,01/06/2023,2023,6,desktop,Direct,1119,1094,1186,1.059874888,0,236,143398,321.130498,0.198988196,0.977658624,0.977658624
WEB_01,01/06/2023,2023,6,mobile,Organic Search,1113,1096,1245,1.118598383,8,838,678885,422.898355,0.673092369,0.984725966,0.984725966
WEB_01,01/06/2023,2023,6,mobile,Direct,152,150,160,1.052631579,0,46,17068,295.993255,0.2875,0.986842105,0.986842105
WEB_01,01/06/2023,2023,6,desktop,Referral,87,70,192,2.206896552,110,131,115940,436.6175843,0.682291667,0.804597701,0.804597701
WEB_01,01/06/2023,2023,6,tablet,Organic Search,63,63,65,1.031746032,0,48,37618,383.782126,0.738461538,1,1
WEB_01,01/06/2023,2023,6,mobile,Referral,10,8,32,3.2,0,21,9914,340.671774,0.65625,0.8,0.8
WEB_01,01/06/2023,2023,6,desktop,Organic Social,8,8,11,1.375,0,6,1020,447.5459171,0.545454545,1,1
WEB_01,01/06/2023,2023,6,tablet,Direct,6,6,6,1,0,6,2638,363.4439584,1,1,1
WEB_01,01/06/2023,2023,6,desktop,Unassigned,4,4,6,1.5,0,3,1210,391.293756,0.5,1,1
WEB_01,01/06/2023,2023,6,mobile,Organic Social,4,4,6,1.5,0,2,408,310.7872073,0.333333333,1,1
WEB_01,01/06/2023,2023,6,tablet,Referral,4,2,10,2.5,0,8,1523,343.1276815,0.8,0.5,0.5
WEB_01,01/06/2023,2023,6,mobile,Unassigned,2,2,2,1,0,1,462,298.2070552,0.5,1,1
WEB_01,01/07/2023,2023,7,desktop,Organic Search,1626,1554,1889,1.161746617,4,1362,881280,283.3001967,0.721016411,0.955719557,0.955719557
WEB_01,01/07/2023,2023,7,desktop,Direct,1271,1246,1353,1.064516129,4,276,122169,323.0124329,0.203991131,0.980330448,0.980330448
WEB_01,01/07/2023,2023,7,mobile,Organic Search,963,956,1032,1.07165109,10,707,486418,292.0548038,0.685077519,0.992731049,0.992731049
WEB_01,01/07/2023,2023,7,mobile,Direct,114,112,131,1.149122807,2,38,18632,295.352299,0.290076336,0.98245614,0.98245614
WEB_01,01/07/2023,2023,7,desktop,Referral,86,57,222,2.581395349,278,165,140121,458.6510916,0.743243243,0.662790698,0.662790698
WEB_01,01/07/2023,2023,7,tablet,Organic Search,61,61,61,1,0,46,42500,380.8535121,0.754098361,1,1
WEB_01,01/07/2023,2023,7,desktop,Unassigned,25,2,29,1.16,0,15,3645,338.5017855,0.517241379,0.08,0.08
WEB_01,01/07/2023,2023,7,mobile,Referral,17,17,19,1.117647059,0,17,12893,412.6793834,0.894736842,1,1
WEB_01,01/07/2023,2023,7,mobile,Unassigned,8,8,8,1,0,4,3658,506.2016678,0.5,1,1
WEB_01,01/07/2023,2023,7,tablet,Direct,6,6,6,1,0,2,598,374.8078018,0.333333333,1,1
WEB_01,01/07/2023,2023,7,mobile,Organic Social,2,2,2,1,0,2,1448,321.5887819,1,1,1
WEB_01,01/07/2023,2023,7,tablet,Organic Social,2,2,2,1,0,2,204,372.5695491,1,1,1
WEB_01,01/07/2023,2023,7,tablet,Referral,2,2,6,3,0,6,585,443.9219231,1,1,1
WEB_01,01/08/2023,2023,8,desktop,Organic Search,1820,1729,2153,1.182967033,22,1433,931192,495.0989494,0.665582908,0.95,0.95
WEB_01,01/08/2023,2023,8,mobile,Organic Search,1026,1018,1119,1.090643275,6,792,579006,817.4839218,0.707774799,0.992202729,0.992202729
WEB_01,01/08/2023,2023,8,desktop,Direct,986,969,1056,1.070993915,14,192,102449,287.2866108,0.181818182,0.982758621,0.982758621
WEB_01,01/08/2023,2023,8,mobile,Direct,108,106,125,1.157407407,0,38,20618,303.381638,0.304,0.981481481,0.981481481
WEB_01,01/08/2023,2023,8,desktop,Referral,67,51,177,2.641791045,200,127,59867,285.7437648,0.717514124,0.76119403,0.76119403
WEB_01,01/08/2023,2023,8,tablet,Organic Search,49,48,61,1.244897959,0,49,34830,285.150614,0.803278689,0.979591837,0.979591837
WEB_01,01/08/2023,2023,8,desktop,Organic Social,25,25,49,1.96,0,11,7181,329.225422,0.224489796,1,1
WEB_01,01/08/2023,2023,8,mobile,Organic Social,25,25,25,1,0,2,2550,434.1339473,0.08,1,1
WEB_01,01/08/2023,2023,8,mobile,Referral,19,13,40,2.105263158,0,30,9547,380.6586028,0.75,0.684210526,0.684210526
WEB_01,01/08/2023,2023,8,tablet,Direct,6,6,11,1.833333333,0,6,136,342.7152839,0.545454545,1,1
WEB_01,01/08/2023,2023,8,desktop,Unassigned,4,4,4,1,0,2,394,354.447394,0.5,1,1
WEB_01,01/08/2023,2023,8,tablet,Referral,2,2,4,2,0,2,27,508.0664735,0.5,1,1
WEB_01,01/08/2023,2023,8,tablet,Unassigned,2,2,2,1,0,1,748,404.8490512,0.5,1,1
WEB_01,01/09/2023,2023,9,desktop,Organic Search,1759,1695,2043,1.161455372,10,1381,1076753,323.5571528,0.675966716,0.963615691,0.963615691
WEB_01,01/09/2023,2023,9,mobile,Organic Search,998,980,1091,1.093186373,8,766,564142,369.0582144,0.702108158,0.981963928,0.981963928
WEB_01,01/09/2023,2023,9,desktop,Direct,933,910,1028,1.101822079,30,182,118565,320.3324493,0.177042802,0.975348339,0.975348339
WEB_01,01/09/2023,2023,9,mobile,Direct,101,95,127,1.257425743,14,42,18306,398.4435878,0.330708661,0.940594059,0.940594059
WEB_01,01/09/2023,2023,9,desktop,Referral,78,53,268,3.435897436,376,188,119218,295.2485639,0.701492537,0.679487179,0.679487179
WEB_01,01/09/2023,2023,9,tablet,Organic Search,70,67,76,1.085714286,0,48,32531,289.3408536,0.631578947,0.957142857,0.957142857
WEB_01,01/09/2023,2023,9,desktop,Organic Social,10,10,10,1,0,2,136,436.798253,0.2,1,1
WEB_01,01/09/2023,2023,9,tablet,Direct,10,10,10,1,0,5,95,450.7206419,0.5,1,1
WEB_01,01/09/2023,2023,9,mobile,Referral,8,4,19,2.375,0,13,2190,388.8027212,0.684210526,0.5,0.5
WEB_01,01/09/2023,2023,9,mobile,Organic Social,4,4,4,1,0,2,408,656.3547244,0.5,1,1
WEB_01,01/09/2023,2023,9,tablet,Referral,4,2,8,2,0,6,775,384.672646,0.75,0.5,0.5
WEB_01,01/09/2023,2023,9,desktop,Unassigned,2,2,2,1,0,1,666,430.7385526,0.5,1,1
WEB_01,01/10/2023,2023,10,desktop,Organic Search,2780,2698,3302,1.187769784,96,2225,1482155,374.153003,0.67383404,0.970503597,0.970503597
WEB_01,01/10/2023,2023,10,mobile,Organic Search,1889,1866,2092,1.107464267,30,1438,974236,524.7634332,0.687380497,0.987824246,0.987824246
WEB_01,01/10/2023,2023,10,desktop,Direct,1290,1245,1360,1.054263566,20,264,145914,310.8116304,0.194117647,0.965116279,0.965116279
WEB_01,01/10/2023,2023,10,mobile,Direct,122,118,137,1.12295082,2,55,29444,306.639318,0.401459854,0.967213115,0.967213115
WEB_01,01/10/2023,2023,10,desktop,Referral,110,89,346,3.145454545,614,219,137265,468.619393,0.632947977,0.809090909,0.809090909
WEB_01,01/10/2023,2023,10,tablet,Organic Search,93,91,99,1.064516129,0,84,63145,524.3186649,0.848484848,0.978494624,0.978494624
WEB_01,01/10/2023,2023,10,mobile,Referral,13,13,27,2.076923077,0,17,9506,670.483559,0.62962963,1,1
WEB_01,01/10/2023,2023,10,tablet,Direct,11,10,11,1,0,8,1972,442.33294,0.727272727,0.909090909,0.909090909
WEB_01,01/10/2023,2023,10,mobile,Unassigned,8,8,8,1,0,4,6678,368.0820006,0.5,1,1
WEB_01,01/10/2023,2023,10,desktop,Organic Social,2,2,2,1,0,2,1387,519.2163166,1,1,1
WEB_01,01/10/2023,2023,10,desktop,Unassigned,2,2,2,1,0,1,136,335.6762001,0.5,1,1
WEB_01,01/10/2023,2023,10,mobile,Organic Social,2,2,2,1,0,1,204,425.2277495,0.5,1,1
WEB_01,01/11/2023,2023,11,desktop,Organic Search,3247,3139,3796,1.16907915,102,2487,1538514,458.1536881,0.65516333,0.966738528,0.966738528
WEB_01,01/11/2023,2023,11,mobile,Organic Search,2366,2348,2575,1.088334742,38,1849,1330447,312.0115242,0.718058252,0.992392223,0.992392223
WEB_01,01/11/2023,2023,11,desktop,Direct,946,929,1026,1.084566596,42,213,113342,421.166047,0.207602339,0.982029598,0.982029598
WEB_01,01/11/2023,2023,11,mobile,Direct,162,160,194,1.197530864,4,72,43778,322.7883555,0.371134021,0.987654321,0.987654321
WEB_01,01/11/2023,2023,11,tablet,Organic Search,141,139,163,1.156028369,4,101,76010,329.1934318,0.619631902,0.985815603,0.985815603
WEB_01,01/11/2023,2023,11,desktop,Referral,82,53,222,2.707317073,252,143,61295,317.2637964,0.644144144,0.646341463,0.646341463
WEB_01,01/11/2023,2023,11,mobile,Referral,29,27,44,1.517241379,2,32,9411,284.81409,0.727272727,0.931034483,0.931034483
WEB_01,01/11/2023,2023,11,tablet,Direct,13,13,17,1.307692308,0,10,4121,335.226985,0.588235294,1,1
WEB_01,01/11/2023,2023,11,mobile,Organic Social,8,8,8,1,0,4,816,453.9017524,0.5,1,1
WEB_01,01/11/2023,2023,11,mobile,Unassigned,6,6,6,1,0,3,2679,404.8302594,0.5,1,1
WEB_01,01/11/2023,2023,11,desktop,Organic Social,4,4,4,1,0,4,1401,350.0653977,1,1,1
WEB_01,01/11/2023,2023,11,desktop,Unassigned,4,4,4,1,0,2,1673,757.9801498,0.5,1,1
WEB_01,01/11/2023,2023,11,tablet,Referral,4,4,4,1,0,4,3218,373.0399986,1,1,1
WEB_01,01/12/2023,2023,12,mobile,Organic Search,4150,4112,4836,1.165301205,64,3080,2298624,298.8725405,0.636889992,0.990843373,0.990890688
WEB_01,01/12/2023,2023,12,desktop,Organic Search,4126,3955,4948,1.19922443,116,3242,2528683,323.2145095,0.655214228,0.958555502,0.958601968
WEB_01,01/12/2023,2023,12,desktop,Direct,1534,1516,1607,1.047588005,4,316,143980,663.2367751,0.196639701,0.988265971,0.988138686
WEB_01,01/12/2023,2023,12,mobile,Direct,511,461,532,1.04109589,4,133,77512,419.920443,0.25,0.902152642,0.901369863
WEB_01,01/12/2023,2023,12,tablet,Organic Search,186,183,204,1.096774194,0,141,133490,451.6593723,0.691176471,0.983870968,0.984962406
WEB_01,01/12/2023,2023,12,mobile,Unassigned,115,115,115,1,0,57,1809,588.264275,0.495652174,1,1
WEB_01,01/12/2023,2023,12,desktop,Referral,95,69,207,2.178947368,56,154,87832,284.949971,0.743961353,0.726315789,0.720588235
WEB_01,01/12/2023,2023,12,mobile,Organic Social,27,27,29,1.074074074,0,6,2685,287.558583,0.206896552,1,1
WEB_01,01/12/2023,2023,12,desktop,Organic Social,15,11,15,1,0,14,4379,469.957187,0.933333333,0.733333333,0.727272727
WEB_01,01/12/2023,2023,12,mobile,Referral,11,11,42,3.818181818,0,35,9958,367.8645868,0.833333333,1,1
WEB_01,01/12/2023,2023,12,desktop,Unassigned,6,6,6,1,0,3,571,338.8402834,0.5,1,1
WEB_01,01/12/2023,2023,12,tablet,Direct,6,6,6,1,0,3,1618,1076.147344,0.5,1,1
WEB_01,01/12/2023,2023,12,tablet,Referral,3,3,8,2.666666667,0,8,5454,291.3913265,1,1,1
WEB_02,01/01/2023,2023,1,desktop,Organic Search,1433,1379,1664,1.161200279,2098,1146,747592,333.7613973,0.688701923,0.962316818,0.962316818
WEB_02,01/01/2023,2023,1,mobile,Organic Search,1123,1089,1264,1.125556545,1680,735,476027,347.8498803,0.581487342,0.969723954,0.969723954
WEB_02,01/01/2023,2023,1,desktop,Direct,363,342,407,1.121212121,652,222,187775,951.7114307,0.545454545,0.94214876,0.94214876
WEB_02,01/01/2023,2023,1,mobile,Direct,114,112,124,1.087719298,176,59,34299,332.5403647,0.475806452,0.98245614,0.98245614
WEB_02,01/01/2023,2023,1,desktop,Referral,89,65,224,2.516853933,628,175,129159,282.9112803,0.78125,0.730337079,0.730337079
WEB_02,01/01/2023,2023,1,tablet,Organic Search,46,36,51,1.108695652,68,34,32898,563.3087899,0.666666667,0.782608696,0.782608696
WEB_02,01/01/2023,2023,1,mobile,Organic Social,44,44,46,1.045454545,54,10,95,292.5618537,0.217391304,1,1
WEB_02,01/01/2023,2023,1,mobile,Referral,23,23,29,1.260869565,38,15,11574,289.03976,0.517241379,1,1
WEB_02,01/01/2023,2023,1,tablet,Direct,13,10,38,2.923076923,64,27,5807,407.319041,0.710526316,0.769230769,0.769230769
WEB_02,01/01/2023,2023,1,desktop,Organic Social,11,10,11,1,10,10,9262,533.9328074,0.909090909,0.909090909,0.909090909
WEB_02,01/01/2023,2023,1,tablet,Referral,4,2,13,3.25,46,11,3713,549.0528382,0.846153846,0.5,0.5
WEB_02,01/01/2023,2023,1,mobile,Unassigned,2,2,2,1,0,1,68,385.3138846,0.5,1,1
WEB_02,01/02/2023,2023,2,desktop,Organic Search,1182,1129,1366,1.155668359,1746,975,567514,434.2729917,0.713762811,0.955160745,0.955160745
WEB_02,01/02/2023,2023,2,mobile,Organic Search,965,942,1058,1.096373057,1288,578,362998,410.0858778,0.5463138,0.976165803,0.976165803
WEB_02,01/02/2023,2023,2,desktop,Direct,350,333,426,1.217142857,468,215,96057,399.1201622,0.504694836,0.951428571,0.951428571
WEB_02,01/02/2023,2023,2,mobile,Direct,120,116,146,1.216666667,160,48,21121,426.8485554,0.328767123,0.966666667,0.966666667
WEB_02,01/02/2023,2023,2,desktop,Referral,63,44,154,2.444444444,430,114,118497,382.3069869,0.74025974,0.698412698,0.698412698
WEB_02,01/02/2023,2023,2,tablet,Organic Search,55,49,67,1.218181818,104,40,42514,1824.776697,0.597014925,0.890909091,0.890909091
WEB_02,01/02/2023,2023,2,mobile,Organic Social,30,30,30,1,34,6,122,560.4832627,0.2,1,1
WEB_02,01/02/2023,2023,2,desktop,Organic Social,13,13,19,1.461538462,18,8,2394,379.1344196,0.421052632,1,1
WEB_02,01/02/2023,2023,2,mobile,Referral,11,11,11,1,16,6,2285,385.4803492,0.545454545,1,1
WEB_02,01/02/2023,2023,2,tablet,Direct,6,4,13,2.166666667,20,10,2203,346.1943998,0.769230769,0.666666667,0.666666667
WEB_02,01/02/2023,2023,2,desktop,Unassigned,4,4,4,1,0,2,95,463.8086924,0.5,1,1
WEB_02,01/02/2023,2023,2,mobile,Unassigned,4,4,6,1.5,2,3,14,547.3718635,0.5,1,1
WEB_02,01/02/2023,2023,2,tablet,Referral,2,2,8,4,20,6,1414,547.0649133,0.75,1,1
WEB_02,01/03/2023,2023,3,desktop,Organic Search,1577,1526,1841,1.167406468,574,1284,754868,356.6678822,0.69744704,0.967660114,0.967660114
WEB_02,01/03/2023,2023,3,mobile,Organic Search,1560,1535,1708,1.094871795,492,933,497882,401.5239833,0.546252927,0.983974359,0.983974359
WEB_02,01/03/2023,2023,3,desktop,Direct,424,403,485,1.143867925,306,249,140556,539.1887086,0.513402062,0.950471698,0.950471698
WEB_02,01/03/2023,2023,3,desktop,Referral,141,116,314,2.226950355,448,241,167307,407.214454,0.767515924,0.822695035,0.822695035
WEB_02,01/03/2023,2023,3,mobile,Organic Social,135,135,139,1.02962963,10,21,8078,360.8534926,0.151079137,1,1
WEB_02,01/03/2023,2023,3,mobile,Direct,120,120,141,1.175,70,63,39467,429.4346499,0.446808511,1,1
WEB_02,01/03/2023,2023,3,tablet,Organic Search,76,72,82,1.078947368,30,38,34258,541.1319067,0.463414634,0.947368421,0.947368421
WEB_02,01/03/2023,2023,3,desktop,Organic Social,36,34,42,1.166666667,12,25,9302,366.4275405,0.595238095,0.944444444,0.944444444
WEB_02,01/03/2023,2023,3,mobile,Referral,13,13,17,1.307692308,14,10,5046,329.5697259,0.588235294,1,1
WEB_02,01/03/2023,2023,3,desktop,Unassigned,8,8,8,1,0,4,313,471.4451889,0.5,1,1
WEB_02,01/03/2023,2023,3,tablet,Referral,8,4,36,4.5,24,30,9112,394.8960184,0.833333333,0.5,0.5
WEB_02,01/03/2023,2023,3,mobile,Unassigned,6,6,6,1,0,3,5202,296.2298522,0.5,1,1
WEB_02,01/03/2023,2023,3,tablet,Direct,4,4,6,1.5,0,3,68,410.5937425,0.5,1,1
WEB_02,01/03/2023,2023,3,tablet,Organic Social,4,4,4,1,0,2,408,501.9958585,0.5,1,1
WEB_02,01/03/2023,2023,3,tablet,Unassigned,2,2,2,1,0,1,204,388.6215853,0.5,1,1
WEB_02,01/04/2023,2023,4,mobile,Organic Search,1754,1704,1883,1.07354618,2,1039,587493,365.9998165,0.551779076,0.971493729,0.971493729
WEB_02,01/04/2023,2023,4,desktop,Organic Search,1625,1566,1809,1.113230769,6,1309,752556,446.8307774,0.723604201,0.963692308,0.963692308
WEB_02,01/04/2023,2023,4,desktop,Direct,416,397,475,1.141826923,48,249,173930,411.053387,0.524210526,0.954326923,0.954326923
WEB_02,01/04/2023,2023,4,mobile,Direct,163,160,207,1.26993865,4,82,31158,337.7768098,0.396135266,0.981595092,0.981595092
WEB_02,01/04/2023,2023,4,mobile,Organic Social,84,80,86,1.023809524,0,6,177,475.9777968,0.069767442,0.952380952,0.952380952
WEB_02,01/04/2023,2023,4,tablet,Organic Search,80,80,84,1.05,0,44,26683,316.1722392,0.523809524,1,1
WEB_02,01/04/2023,2023,4,desktop,Referral,68,53,181,2.661764706,264,127,91678,402.3793048,0.701657459,0.779411765,0.779411765
WEB_02,01/04/2023,2023,4,desktop,Organic Social,19,17,55,2.894736842,26,13,5590,5512.117383,0.236363636,0.894736842,0.894736842
WEB_02,01/04/2023,2023,4,mobile,Referral,15,13,17,1.133333333,0,11,3917,320.355678,0.647058824,0.866666667,0.866666667
WEB_02,01/04/2023,2023,4,tablet,Referral,10,6,38,3.8,4,34,20998,500.0616446,0.894736842,0.6,0.6
WEB_02,01/04/2023,2023,4,tablet,Direct,4,2,4,1,0,4,680,345.0334293,1,0.5,0.5
WEB_02,01/04/2023,2023,4,mobile,Unassigned,2,2,2,1,0,1,666,633.6668156,0.5,1,1
WEB_02,01/05/2023,2023,5,desktop,Organic Search,1953,1892,2322,1.188940092,46,1668,961411,404.0855193,0.718346253,0.968766001,0.968766001
WEB_02,01/05/2023,2023,5,mobile,Organic Search,1940,1911,2288,1.179381443,22,1389,786026,481.4298328,0.60708042,0.985051546,0.985051546
WEB_02,01/05/2023,2023,5,desktop,Direct,469,458,509,1.085287846,128,260,284254,528.1201694,0.510805501,0.976545842,0.976545842
WEB_02,01/05/2023,2023,5,mobile,Direct,272,268,334,1.227941176,4,163,66150,378.4002169,0.488023952,0.985294118,0.985294118
WEB_02,01/05/2023,2023,5,tablet,Organic Search,103,97,116,1.126213592,2,80,47396,600.4175032,0.689655172,0.941747573,0.941747573
